Census,Town,Change
25025080601,ROXBURY CROSSING,-41
25023510900,BROCKTON,-38
25001014100,FORESTDALE,-30
25013811400,HOLYOKE,-27
25001011600,WEST HARWICH,-18
25005630102,ATTLEBORO FALLS,-16
25023545400,WAREHAM,-15
25001012002,WEST YARMOUTH,-12
25005655300,FAIRHAVEN,-10
25009221400,GLOUCESTER,-10
25027710700,FITCHBURG,-8
25027726200,SPENCER,-8
25003935300,NORTH ADAMS,-5
25027703100,ORANGE,-5
25015821602,FLORENCE,-5
25013813207,FEEDING HILLS,-4
25027754200,WEBSTER,-4
25025180500,WINTHROP,-3
25027709600,LEOMINSTER,-3
25009207200,LYNN,-3
25011040400,ERVING,-3
25005642000,FALL RIVER,-2
25025061101,BOSTON,-2
25023511000,BROCKTON,-2
25027709400,LEOMINSTER,-1
25011040701,TURNERS FALLS,-1
25017311700,LOWELL,-1
25027707300,GARDNER,-1
25009250300,LAWRENCE,0
25009210700,SALEM,0
25005641200,FALL RIVER,1
25017354900,CAMBRIDGE,1
25013801200,SPRINGFIELD,1
25003922100,ADAMS,1
25027757300,SOUTHBRIDGE,1
25027731700,WORCESTER,1
25011041400,GREENFIELD,1
25013800600,SPRINGFIELD,1
25005651900,NEW BEDFORD,2
25009207000,LYNN,2
25015820102,WARE,2
25027716300,CLINTON,2
25017342400,CHELSEA,2
25003921400,NORTH ADAMS,2
25027757100,SOUTHBRIDGE,2
25021417701,QUINCY,2
25003900200,PITTSFIELD,3
25005630101,NORTH ATTLEBORO,3
25023502200,ROCKLAND,3
25027730500,WORCESTER,4
25009250800,LAWRENCE,4
25027716200,LANCASTER,4
25017310100,LOWELL,4
25011040501,ORANGE,4
25025061000,BOSTON,4
25009221500,GLOUCESTER,4
25025170501,REVERE,5
25013812300,WEST SPRINGFIELD,5
25017341300,MELROSE,5
25005651300,NEW BEDFORD,6
25015821903,NORTHAMPTON,6
25005613800,TAUNTON,6
25011041300,GREENFIELD,6
25025160200,CHELSEA,7
25013810300,PALMER,7
25025081200,JAMAICA PLAIN,7
25003900100,PITTSFIELD,7
25021420301,RANDOLPH,8
25023561200,BRIDGEWATER,8
25013810403,LUDLOW,8
25013801700,SPRINGFIELD,8
25021422502,EAST WEYMOUTH,8
25013811700,HOLYOKE,8
25017311800,LOWELL,8
25013801101,SPRINGFIELD,8
25009206800,LYNN,8
25027707200,GARDNER,9
25017321300,MARLBOROUGH,9
25009260800,HAVERHILL,9
25015822402,EASTHAMPTON,9
25021417901,QUINCY,9
25009252300,METHUEN,10
25027732801,MILLBURY,10
25027710600,FITCHBURG,10
25017311600,LOWELL,10
25025160400,CHELSEA,11
25025170702,REVERE,11
25021420202,RANDOLPH,11
25023510503,BROCKTON,11
25025040200,CHARLESTOWN,11
25023510700,BROCKTON,12
25005651200,NEW BEDFORD,12
25009251600,LAWRENCE,12
25017339700,MEDFORD,13
25001014500,EAST FALMOUTH,13
25009260200,HAVERHILL,14
25017341200,MEDFORD,14
25001010100,PROVINCETOWN,14
25025040300,SOMERVILLE,14
25009217400,BEVERLY,14
25013812702,WESTFIELD,14
25015820300,AMHERST,15
25009204200,SALEM,15
25027731300,WORCESTER,15
25003922300,ADAMS,15
25017383101,FRAMINGHAM,16
25001015300,BARNSTABLE,16
25015821100,SOUTH HADLEY,16
25017383102,FRAMINGHAM,18
25009204701,SALEM,18
25013800900,SPRINGFIELD,18
25005651800,NEW BEDFORD,19
25009210800,PEABODY,20
25009252400,LAWRENCE,20
25017350103,SOMERVILLE,20
25027732500,WORCESTER,21
25025080500,ROXBURY CROSSING,21
25013810800,CHICOPEE,22
25013801800,SPRINGFIELD,22
25009250100,LAWRENCE,24
25027703200,ROYALSTON,25
25009206100,LYNN,25
25017351500,SOMERVILLE,25
25017321200,MARLBOROUGH,25
25025060700,BOSTON,26
25011040100,NORTH ADAMS,26
25025090901,DORCHESTER,27
25027731400,WORCESTER,28
25011040502,ORANGE,31
25013801902,SPRINGFIELD,34
25025040801,CHARLESTOWN,39
25017311900,LOWELL,43
25005641101,FALL RIVER,54
25005644200,SOMERSET,64
