id,city,medincome
54,SPRINGFIELD,12628
55,SPRINGFIELD,12907
22,NEW BEDFORD,13337
58,SPRINGFIELD,14176
97,BROCKTON,14375
106,BOSTON,14500
52,SPRINGFIELD,16107
53,SPRINGFIELD,16215
108,ROXBURY CROSSING,16250
16,FALL RIVER,16660
126,FITCHBURG,17039
63,HOLYOKE,17719
62,HOLYOKE,18060
104,BOSTON,19907
7,PITTSFIELD,20310
28,LYNN,20778
37,LAWRENCE,20800
105,BOSTON,22133
29,LYNN,22460
21,NEW BEDFORD,22500
23,NEW BEDFORD,22593
132,WORCESTER,23036
107,ROXBURY CROSSING,23194
18,FALL RIVER,23359
77,LOWELL,24654
133,WORCESTER,25036
131,WORCESTER,25945
57,SPRINGFIELD,26507
110,DORCHESTER,27578
27,LYNN,27929
87,FRAMINGHAM,28472
8,PITTSFIELD,28692
17,FALL RIVER,29938
134,WORCESTER,30096
109,JAMAICA PLAIN,30819
64,WEST SPRINGFIELD,30848
73,LOWELL,31550
12,NORTH ADAMS,31563
56,SPRINGFIELD,31712
121,GARDNER,32300
30,LYNN,32654
6,BARNSTABLE,32786
71,NORTHAMPTON,33147
138,SOUTHBRIDGE,33778
20,NEW BEDFORD,33875
51,GREENFIELD,33967
123,LEOMINSTER,34120
13,TAUNTON,34207
50,GREENFIELD,34622
122,GARDNER,34839
88,FRAMINGHAM,35724
65,WESTFIELD,36000
136,WEBSTER,36216
9,NORTH ADAMS,36231
76,LOWELL,36702
36,GLOUCESTER,36845
33,PEABODY,36860
47,ORANGE,36902
95,BROCKTON,36977
118,MATTAPAN,36979
48,ORANGE,37308
101,CHARLESTOWN,37750
82,MELROSE,37813
38,LAWRENCE,38063
67,WARE,38728
43,HAVERHILL,38979
68,AMHERST,39144
40,LAWRENCE,39281
25,SALEM,40469
49,TURNERS FALLS,40526
100,BRIDGEWATER,40769
44,HAVERHILL,41422
10,ADAMS,41829
61,CHICOPEE,41955
1,PROVINCETOWN,42228
24,FAIRHAVEN,44107
42,LAWRENCE,44359
4,FORESTDALE,44405
119,ORANGE,44408
112,CHELSEA,44667
3,WEST YARMOUTH,44835
90,QUINCY,44875
113,REVERE,45257
60,LUDLOW,45888
130,WORCESTER,46212
124,LEOMINSTER,46296
83,CHELSEA,46471
66,FEEDING HILLS,46592
129,SPENCER,46652
2,WEST HARWICH,46813
89,QUINCY,46852
93,EAST WEYMOUTH,46947
120,ROYALSTON,46979
39,LAWRENCE,47314
32,SALEM,47662
41,METHUEN,49563
35,GLOUCESTER,50222
98,BROCKTON,50549
137,SOUTHBRIDGE,50558
128,CLINTON,50795
69,SOUTH HADLEY,51073
114,REVERE,51073
111,CHELSEA,51250
127,LANCASTER,51250
96,BROCKTON,51488
11,ADAMS,52569
70,FLORENCE,53125
45,NORTH ADAMS,53160
75,LOWELL,53281
125,FITCHBURG,53793
86,CAMBRIDGE,54507
15,ATTLEBORO FALLS,54550
72,EASTHAMPTON,55417
46,ERVING,55489
59,PALMER,56500
80,MEDFORD,57708
19,SOMERSET,58502
34,BEVERLY,58944
99,WAREHAM,58953
92,RANDOLPH,59022
103,CHARLESTOWN,59704
26,SALEM,59904
85,SOMERVILLE,60357
79,MARLBOROUGH,60558
14,NORTH ATTLEBORO,61250
115,WINTHROP,62172
81,MEDFORD,62226
135,MILLBURY,62886
94,ROCKLAND,63226
74,LOWELL,64122
78,MARLBOROUGH,64896
91,RANDOLPH,67252
5,EAST FALMOUTH,69236
31,SAUGUS,72647
84,SOMERVILLE,100336
102,SOMERVILLE,102171
